@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
9,-1,17,OUT
3,-1,3,OUT
16,-1,15,OUT
11,-1,16,OUT
1,1,1,IN
2,2,2,IN
18,-1,3,IN
19,7,5,IN
3,10,4,IN
7,8,6,IN
4,11,7,IN
10,17,15,IN
9,-1,10,IN
11,12,16,IN
5,18,9,OUT
8,15,13,OUT
17,-1,11,OUT
14,4,17,OUT
20,6,20,OUT
12,-1,14,OUT
16,-1,19,OUT
15,-1,18,OUT
13,-1,12,OUT
6,3,8,OUT
1,14,1,IN
2,1,2,IN
4,10,3,IN
3,-1,16,IN
12,7,4,IN
11,4,5,IN
6,6,7,IN
20,2,8,IN
8,13,15,IN
7,20,9,IN
19,-1,10,OUT
14,5,12,OUT
5,3,6,OUT
16,-1,18,OUT
13,-1,14,OUT
9,-1,11,OUT
15,9,17,OUT
17,-1,19,OUT
-1,-1,20,OUT
10,19,13,OUT
-1,2,2,IN
-1,1,1,IN
-1,3,3,IN
-1,6,8,IN
-1,4,6,IN
-1,14,19,IN
-1,7,10,IN
-1,18,11,IN
-1,9,7,IN
-1,13,5,IN
-1,-1,14,OUT
-1,17,15,OUT
-1,10,9,OUT
-1,11,13,OUT
-1,5,17,OUT
-1,-1,22,OUT
-1,8,16,OUT
-1,12,4,OUT
-1,-1,21,OUT
-1,-1,20,OUT
-1,-1,12,OUT
-1,16,18,OUT
1,3,2,IN
18,2,4,IN
2,1,1,IN
4,6,5,IN
6,7,9,IN
10,18,10,IN
22,9,15,IN
5,10,7,IN
8,4,6,IN
-1,-1,12,IN
12,-1,19,OUT
17,14,17,OUT
16,-1,16,OUT
15,12,22,OUT
7,13,8,OUT
13,8,18,OUT
19,-1,21,OUT
9,19,11,OUT
20,-1,13,OUT
14,20,14,OUT
3,5,3,OUT
11,-1,20,OUT
1,2,1,IN
21,3,4,IN
7,19,6,IN
4,9,2,IN
2,4,3,IN
8,5,11,IN
3,1,22,IN
6,17,9,IN
18,13,8,IN
9,6,5,IN
16,11,7,OUT
-1,12,12,OUT
20,14,13,OUT
19,-1,18,OUT
15,20,10,OUT
12,10,15,OUT
11,-1,17,OUT
13,-1,21,OUT
5,7,14,OUT
14,8,16,OUT
17,-1,20,OUT
22,-1,19,OUT
1,18,1,IN
7,1,10,IN
5,8,4,IN
10,12,3,IN
6,4,5,IN
12,11,14,IN
17,-1,17,IN
19,17,15,IN
11,3,7,IN
13,9,12,IN
4,15,6,OUT
9,16,11,OUT
22,-1,18,OUT
16,20,22,OUT
3,5,8,OUT
20,6,19,OUT
14,-1,16,OUT
18,-1,20,OUT
8,10,9,OUT
2,2,2,OUT
15,19,13,OUT
21,-1,21,OUT
19,11,4,IN
3,5,5,IN
20,3,6,IN
11,7,3,IN
4,4,7,IN
12,9,8,IN
9,13,9,IN
5,6,18,IN
10,16,12,IN
15,10,13,IN
17,-1,16,OUT
14,14,19,OUT
13,-1,17,OUT
7,-1,15,OUT
16,12,20,OUT
18,-1,21,OUT
22,-1,22,OUT
8,8,14,OUT
6,20,10,OUT
21,15,11,OUT
2,2,1,OUT
1,1,2,OUT
21,3,3,IN
4,5,1,IN
7,7,8,IN
3,2,4,IN
19,19,10,IN
20,11,5,IN
22,1,2,IN
6,10,7,IN
9,8,13,IN
8,15,14,IN
11,-1,12,OUT
5,14,11,OUT
18,12,15,OUT
16,-1,20,OUT
17,-1,19,OUT
12,13,17,OUT
15,9,22,OUT
1,18,21,OUT
14,-1,16,OUT
10,4,9,OUT
2,6,6,OUT
13,-1,18,OUT
1,1,1,IN
4,5,3,IN
12,3,7,IN
18,15,5,IN
7,2,2,IN
21,4,6,IN
2,13,4,IN
6,8,9,IN
8,12,16,IN
3,11,11,IN
5,20,10,OUT
20,9,13,OUT
11,-1,14,OUT
13,10,15,OUT
16,14,19,OUT
19,-1,-1,OUT
14,-1,18,OUT
17,16,20,OUT
15,-1,21,OUT
10,6,8,OUT
22,-1,17,OUT
9,19,12,OUT
5,-1,1,IN
2,-1,4,IN
10,-1,2,IN
6,-1,5,IN
1,-1,10,IN
3,-1,8,IN
7,-1,3,IN
4,-1,9,IN
8,-1,12,IN
20,-1,6,IN
22,-1,19,OUT
18,-1,16,OUT
14,-1,11,OUT
16,-1,21,OUT
21,-1,22,OUT
13,-1,15,OUT
15,-1,20,OUT
19,-1,17,OUT
11,-1,14,OUT
17,-1,18,OUT
9,-1,13,OUT
12,-1,7,OUT
5,2,1,IN
8,8,9,IN
4,19,6,IN
1,1,2,IN
7,10,7,IN
11,17,5,IN
13,15,13,IN
21,16,15,IN
6,5,8,IN
20,-1,12,IN
16,-1,11,OUT
15,-1,18,OUT
12,11,22,OUT
14,-1,17,OUT
17,13,21,OUT
18,-1,19,OUT
3,9,16,OUT
19,20,14,OUT
9,6,3,OUT
10,3,10,OUT
2,4,4,OUT
22,12,20,OUT
1,1,1,IN
2,16,3,IN
4,2,2,IN
5,15,4,IN
3,8,5,IN
17,9,11,IN
19,7,9,IN
8,14,8,IN
21,3,6,IN
22,6,15,IN
20,4,12,OUT
6,19,17,OUT
18,10,10,OUT
9,5,7,OUT
13,20,21,OUT
11,-1,14,OUT
14,-1,16,OUT
12,-1,18,OUT
16,-1,19,OUT
7,17,13,OUT
15,11,-1,OUT
10,-1,20,OUT
1,6,2,IN
3,8,1,IN
4,3,3,IN
9,1,5,IN
2,4,4,IN
5,18,14,IN
13,5,7,IN
8,17,6,IN
14,13,10,IN
7,20,9,IN
6,19,13,OUT
18,-1,17,OUT
16,-1,15,OUT
20,7,11,OUT
17,-1,19,OUT
10,2,12,OUT
15,11,16,OUT
11,12,18,OUT
22,-1,21,OUT
21,10,20,OUT
19,-1,22,OUT
12,9,8,OUT
1,-1,2,IN
3,-1,3,IN
5,-1,4,IN
2,-1,1,IN
4,-1,6,IN
6,-1,5,IN
10,-1,7,IN
22,-1,12,IN
9,-1,8,IN
11,-1,9,IN
13,-1,11,OUT
7,-1,14,OUT
14,-1,15,OUT
8,-1,13,OUT
16,-1,19,OUT
15,-1,17,OUT
19,-1,18,OUT
20,-1,22,OUT
12,-1,16,OUT
21,-1,20,OUT
17,-1,21,OUT
18,-1,10,OUT
4,2,1,IN
2,18,5,IN
1,1,21,IN
7,20,7,IN
10,5,6,IN
5,12,4,IN
12,13,-1,IN
9,9,8,IN
6,7,3,IN
22,6,10,IN
3,8,2,OUT
11,-1,13,OUT
13,3,11,OUT
15,4,19,OUT
19,-1,14,OUT
-1,-1,18,OUT
21,11,17,OUT
16,-1,12,OUT
18,10,20,OUT
14,17,15,OUT
8,14,9,OUT
17,-1,16,OUT
1,17,2,IN
3,1,1,IN
6,2,3,IN
9,5,4,IN
2,8,6,IN
8,4,5,IN
11,12,7,IN
5,6,8,IN
10,3,11,IN
4,7,9,IN
13,19,12,OUT
21,14,15,OUT
12,-1,10,OUT
7,18,13,OUT
20,11,16,OUT
19,9,19,OUT
18,-1,21,OUT
16,-1,-1,OUT
14,10,17,OUT
22,-1,14,OUT
15,-1,20,OUT
17,13,18,OUT
1,4,1,IN
5,2,2,IN
2,18,3,IN
4,3,5,IN
3,1,22,IN
7,8,4,IN
14,17,9,IN
8,7,10,IN
19,6,7,IN
